Date,Open,High,Low,Close*,Adj Close**,Change,Return,Date
16-Mar-22,"33,653.93","34,075.94","33,391.24","34,063.10","34,063.10",518.76,0.02,16-Mar-22
17-Mar-22,"33,995.39","34,483.92","33,896.06","34,480.76","34,480.76",417.66,0.01,17-Mar-22
18-Mar-22,"34,466.72","34,755.20","34,279.83","34,754.93","34,754.93",274.17,0.01,18-Mar-22
21-Mar-22,"34,669.85","34,808.28","34,341.81","34,552.99","34,552.99",-201.94,-0.01,21-Mar-22
22-Mar-22,"34,583.24","34,882.03","34,583.24","34,807.46","34,807.46",254.47,0.01,22-Mar-22
23-Mar-22,"34,748.84","34,748.84","34,352.96","34,358.50","34,358.50",-448.96,-0.01,23-Mar-22
24-Mar-22,"34,406.81","34,713.56","34,355.42","34,707.94","34,707.94",349.44,0.01,24-Mar-22
25-Mar-22,"34,702.39","34,942.70","34,631.52","34,861.24","34,861.24",153.3,0,25-Mar-22
28-Mar-22,"34,833.03","34,957.93","34,552.23","34,955.89","34,955.89",94.65,0,28-Mar-22
29-Mar-22,"35,114.35","35,372.26","35,030.07","35,294.19","35,294.19",338.3,0.01,29-Mar-22
30-Mar-22,"35,273.63","35,361.36","35,058.58","35,228.81","35,228.81",-65.38,0,30-Mar-22
31-Mar-22,"35,201.52","35,201.52","34,677.99","34,678.35","34,678.35",-550.46,-0.02,31-Mar-22
1-Apr-22,"34,740.89","34,847.91","34,538.25","34,818.27","34,818.27",139.92,0,1-Apr-22
4-Apr-22,"34,799.98","34,940.78","34,615.38","34,921.88","34,921.88",103.61,0,4-Apr-22
5-Apr-22,"34,876.33","35,112.21","34,566.04","34,641.18","34,641.18",-280.7,-0.01,5-Apr-22
6-Apr-22,"34,520.34","34,609.84","34,277.17","34,496.51","34,496.51",-144.67,0,6-Apr-22
7-Apr-22,"34,439.24","34,705.83","34,190.95","34,583.57","34,583.57",87.06,0,7-Apr-22
8-Apr-22,"34,569.24","34,908.46","34,470.19","34,721.12","34,721.12",137.55,0,8-Apr-22
11-Apr-22,"34,630.27","34,701.34","34,272.29","34,308.08","34,308.08",-413.04,-0.01,11-Apr-22
12-Apr-22,"34,412.51","34,669.97","34,102.81","34,220.36","34,220.36",-87.72,0,12-Apr-22
13-Apr-22,"34,166.64","34,598.36","34,140.64","34,564.59","34,564.59",344.23,0.01,13-Apr-22
14-Apr-22,"34,628.46","34,889.17","34,437.50","34,451.23","34,451.23",-113.36,0,14-Apr-22
18-Apr-22,"34,411.49","34,618.29","34,279.08","34,411.69","34,411.69",-39.54,0,18-Apr-22
19-Apr-22,"34,394.62","34,983.11","34,394.62","34,911.20","34,911.20",499.51,0.01,19-Apr-22
20-Apr-22,"34,962.67","35,315.40","34,962.67","35,160.79","35,160.79",249.59,0.01,20-Apr-22
21-Apr-22,"35,258.80","35,492.22","34,723.82","34,792.76","34,792.76",-368.03,-0.01,21-Apr-22
22-Apr-22,"34,727.38","34,727.38","33,773.39","33,811.40","33,811.40",-981.36,-0.03,22-Apr-22
25-Apr-22,"33,731.65","34,106.01","33,323.37","34,049.46","34,049.46",238.06,0.01,25-Apr-22
26-Apr-22,"33,907.49","33,909.51","33,230.95","33,240.18","33,240.18",-809.28,-0.02,26-Apr-22
27-Apr-22,"33,450.92","33,697.18","33,108.89","33,301.93","33,301.93",61.75,0,27-Apr-22
28-Apr-22,"33,425.96","34,054.79","33,248.46","33,916.39","33,916.39",614.46,0.02,28-Apr-22
29-Apr-22,"33,787.01","33,919.59","32,913.15","32,977.21","32,977.21",-939.18,-0.03,29-Apr-22
2-May-22,"32,978.49","33,224.95","32,449.87","33,061.50","33,061.50",84.29,0,2-May-22
3-May-22,"33,086.09","33,341.58","32,914.75","33,128.79","33,128.79",67.29,0,3-May-22
4-May-22,"33,171.80","34,117.74","33,021.84","34,061.06","34,061.06",932.27,0.03,4-May-22
5-May-22,"33,854.17","33,854.17","32,685.10","32,997.97","32,997.97","-1,063.09",-0.03,5-May-22
6-May-22,"32,773.88","33,055.84","32,474.69","32,899.37","32,899.37",-98.6,0,6-May-22
9-May-22,"32,685.17","32,685.17","32,121.98","32,245.70","32,245.70",-653.67,-0.02,9-May-22
10-May-22,"32,504.09","32,752.17","31,887.89","32,160.74","32,160.74",-84.96,0,10-May-22
11-May-22,"32,123.24","32,584.02","31,798.86","31,834.11","31,834.11",-326.63,-0.01,11-May-22
12-May-22,"31,699.04","31,914.46","31,228.22","31,730.30","31,730.30",-103.81,0,12-May-22
13-May-22,"31,963.86","32,276.05","31,862.79","32,196.66","32,196.66",466.36,0.01,13-May-22
16-May-22,"32,152.15","32,514.02","31,928.18","32,223.42","32,223.42",26.76,0,16-May-22
17-May-22,"32,427.00","32,689.14","32,308.15","32,654.59","32,654.59",431.17,0.01,17-May-22
18-May-22,"32,468.67","32,468.67","31,393.95","31,490.07","31,490.07","-1,164.52",-0.04,18-May-22
19-May-22,"31,262.62","31,569.13","31,016.41","31,253.13","31,253.13",-236.94,-0.01,19-May-22
20-May-22,"31,426.94","31,515.78","30,635.76","31,261.90","31,261.90",8.77,0,20-May-22
23-May-22,"31,395.89","31,968.42","31,395.89","31,880.24","31,880.24",618.34,0.02,23-May-22
24-May-22,"31,717.61","32,014.86","31,365.59","31,928.62","31,928.62",48.38,0,24-May-22
25-May-22,"31,816.31","32,254.44","31,754.33","32,120.28","32,120.28",191.66,0.01,25-May-22
26-May-22,"32,248.17","32,774.14","32,248.17","32,637.19","32,637.19",516.91,0.02,26-May-22
27-May-22,"32,735.09","33,213.62","32,682.01","33,212.96","33,212.96",575.77,0.02,27-May-22
31-May-22,"33,160.59","33,240.22","32,752.34","32,990.12","32,990.12",-222.84,-0.01,31-May-22
1-Jun-22,"33,156.31","33,272.34","32,584.76","32,813.23","32,813.23",-176.89,-0.01,1-Jun-22
2-Jun-22,"32,809.01","33,248.61","32,509.43","33,248.28","33,248.28",435.05,0.01,2-Jun-22
3-Jun-22,"32,986.32","33,135.61","32,839.21","32,899.70","32,899.70",-348.58,-0.01,3-Jun-22
6-Jun-22,"33,032.04","33,235.37","32,819.50","32,915.78","32,915.78",16.08,0,6-Jun-22
7-Jun-22,"32,783.03","33,207.45","32,641.85","33,180.14","33,180.14",264.36,0.01,7-Jun-22
8-Jun-22,"33,087.07","33,156.50","32,824.37","32,910.90","32,910.90",-269.24,-0.01,8-Jun-22
9-Jun-22,"32,828.62","32,956.73","32,267.78","32,272.79","32,272.79",-638.11,-0.02,9-Jun-22
10-Jun-22,"32,053.52","32,053.52","31,387.84","31,392.79","31,392.79",-880,-0.03,10-Jun-22
13-Jun-22,"31,144.91","31,144.91","30,373.72","30,516.74","30,516.74",-876.05,-0.03,13-Jun-22
